,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
118,Thomas Jones\JoneTh00,TAM,RB,25,16,3,0,0,0,0,0,137,627,4.58,3,31,24,180,7.50,0,4,2,3,,,95,118.7,126.7,106.7,,37,
119,Marcel Shipp\ShipMa00,ARI,RB,25,16,11,0,0,0,0,0,228,830,3.64,0,37,30,184,6.13,0,3,3,0,,,95,125.4,134.4,110.4,,36,
120,Doug Flutie\FlutDo00,SDG,QB,41,7,5,91,167,1097,9,4,33,168,5.09,2,0,0,0,,0,7,5,2,,1,93,92.7,107.7,96.7,,29,
121,Dennis Northcutt\NortDe00,CLE,WR,26,15,6,0,1,0,0,0,12,83,6.92,0,93,62,729,11.76,2,2,1,2,,,91,153.2,157.2,122.2,,41,
122,Andre' Davis\DaviAn01,CLE,WR,24,16,8,0,0,0,0,0,5,28,5.60,0,62,40,576,14.40,5,2,,5,,,90,130.4,133.4,110.4,,42,
123,Antowain Smith\SmitAn00,NWE,RB,31,13,6,0,0,0,0,0,182,642,3.53,3,16,14,92,6.57,0,1,1,3,,,89,103.4,107.4,96.4,,38,
124,Travis Taylor\TaylTr01,BAL,WR,25,16,16,0,0,0,0,0,11,62,5.64,0,90,39,632,16.21,3,0,,3,,,87,126.4,129.4,106.9,,43,
125,Amos Zereoue\ZereAm00,PIT,RB,27,16,6,0,0,0,0,0,132,433,3.28,2,52,40,310,7.75,0,0,,2,,,86,126.3,132.3,106.3,,39,
126,David Givens\GiveDa00,NWE,WR,23,13,5,0,1,0,0,1,0,0,,0,54,34,510,15.00,6,0,,6,,,85,119.0,123.0,103.0,,44,
127,Kelly Holcomb\HolcKe00,CLE,QB,30,10,8,193,302,1797,10,12,8,7,0.88,0,0,0,0,,0,5,2,0,,,85,84.6,101.6,96.6,,30,
128,Eric Moulds\MoulEr00,BUF,WR,30,13,13,0,0,0,0,0,0,0,,0,121,64,780,12.19,1,0,,1,,,84,148.0,151.0,116.0,,45,
129,Doug Johnson\JohnDo00,ATL,QB,26,10,8,136,243,1655,8,12,14,21,1.50,1,0,0,0,,0,3,,1,,,82,82.3,97.3,94.3,,31,
130,Kelly Campbell\CampKe00,MIN,WR,23,15,6,0,0,0,0,0,10,71,7.10,0,46,25,522,20.88,4,2,1,4,,,81,106.3,110.3,93.8,,48,
131,Joey Galloway\GallJo00,DAL,WR,32,15,13,0,0,0,0,0,4,22,5.50,0,83,34,672,19.76,2,1,,2,,,81,115.4,118.4,98.4,,46,
